HATS-36 b,2018,1203
HATS-39 b,2018,1645
HATS-4 b,2014,1315
HATS-40 b,2018,2101
HATS-41 b,2018,1710
HATS-42 b,2018,1856
HATS-43 b,2018,1003
HATS-44 b,2018,1161
HATS-45 b,2018,1518
HATS-46 b,2018,1054
HATS-5 b,2014,1025
HATS-50 b,2017,
HATS-51 b,2017,1553
HATS-52 b,2017,1834
HATS-53 b,2017,1312
HATS-54 b,2019,1625
HATS-55 b,2019,1367
HATS-56 b,2019,1902
HATS-57 b,2019,1413
HATS-58 A b,2019,1721
HATS-59 b,2018,1128
HATS-59 c,2018,176
HATS-6 b,2015,713
HATS-60 b,2018,1528
HATS-61 b,2018,1226
HATS-62 b,2018,1237
HATS-63 b,2018,1398
HATS-64 b,2018,1793
HATS-65 b,2018,1634
HATS-66 b,2018,1998
HATS-67 b,2018,2193
HATS-68 b,2018,1741
HATS-69 b,2018,1296
HATS-7 b,2015,1084
HATS-70 b,2019,2730
HATS-8 b,2015,1324
HATS-9 b,2015,1746
HD 100546 b,2014,
HD 100655 b,2011,
HD 100777 b,2007,
HD 10180 c,2010,
HD 10180 d,2010,
HD 10180 e,2010,
HD 10180 f,2010,
HD 10180 g,2010,
HD 10180 h,2010,
HD 101930 b,2005,
HD 102117 b,2005,
HD 102195 b,2006,
HD 102272 b,2008,
HD 102329 b,2011,
HD 102329 c,2018,
HD 102365 b,2010,
HD 102843 b,2019,
HD 102956 b,2010,
HD 103197 b,2009,
HD 103720 b,2014,
HD 103774 b,2013,
HD 103949 b,2019,
HD 104067 b,2009,
HD 10442 b,2014,
HD 104985 b,2003,
HD 106252 b,2002,
HD 106270 b,2011,
HD 106315 b,2017,1153
HD 106315 c,2017,886
HD 10647 b,2006,
HD 106515 A b,2012,
HD 106906 b,2013,1800
HD 10697 b,1999,
HD 107148 b,2005,
HD 108147 b,2002,
HD 108341 b,2014,
HD 108863 b,2011,
HD 108874 b,2002,
HD 108874 c,2005,
HD 109246 b,2010,
HD 109271 b,2013,
HD 109271 c,2013,
HD 109749 b,2005,
HD 110014 b,2009,
HD 111232 b,2003,
HD 111591 b,2017,
HD 111998 b,2016,
HD 113337 b,2013,
HD 113538 b,2010,
HD 113538 c,2010,
HD 113996 b,2017,
HD 114386 b,2003,
HD 114613 b,2014,
HD 114729 b,2002,
HD 114762 b,1989,
HD 114783 b,2001,
HD 114783 c,2018,
HD 11506 b,2007,
HD 11506 c,2008,
HD 116029 b,2011,
HD 116029 c,2018,
HD 117207 b,2004,
HD 11755 b,2015,
HD 117618 b,2004,
HD 118203 b,2005,
HD 119130 b,2019,795
HD 11964 b,2005,
HD 11964 c,2008,
HD 11977 b,2005,
HD 120084 b,2013,
HD 121504 b,2003,
HD 12484 b,2016,
HD 125595 b,2009,
HD 125612 b,2007,
HD 125612 c,2009,
HD 125612 d,2009,
HD 12648 b,2015,
HD 126525 b,2018,
HD 12661 b,2000,
HD 12661 c,2002,
HD 126614 b,2009,
HD 128311 b,2002,
HD 128311 c,2005,
HD 128356 b,2016,
HD 129445 b,2009,
HD 130322 b,1999,
HD 131496 b,2011,
HD 131664 b,2008,
HD 13167 b,2018,
HD 13189 b,2005,
HD 132406 b,2007,
HD 132563 b,2011,
HD 133131 A b,2016,
HD 133131 A c,2016,
HD 133131 B b,2016,
HD 134060 b,2019,
HD 134060 c,2019,
HD 134987 b,1999,
HD 134987 c,2009,
HD 136352 b,2019,
HD 136352 c,2019,
HD 136352 d,2019,
HD 136418 b,2009,
HD 13724 b,2019,
HD 137388 b,2011,
HD 13908 b,2013,
HD 13908 c,2013,
HD 13931 b,2009,
HD 139357 b,2008,
HD 1397 b,2018,1228
HD 14067 b,2014,
HD 141399 b,2014,
HD 141399 c,2014,
HD 141399 d,2014,
HD 141399 e,2014,
HD 141937 b,2002,
HD 142 b,2001,
HD 142 c,2012,
HD 142022 A b,2005,
HD 142245 b,2011,
HD 142415 b,2003,
HD 143105 b,2016,
HD 143361 b,2008,
HD 145377 b,2008,
HD 145457 b,2010,
HD 145934 b,2015,
HD 1461 b,2010,
HD 1461 c,2015,
HD 147018 b,2009,
HD 147018 c,2009,
HD 147379 b,2017,
HD 147513 b,2003,
HD 14787 b,2018,
HD 147873 b,2016,
HD 147873 c,2016,
HD 148156 b,2009,
HD 148164 b,2018,
HD 148164 c,2018,
HD 148284 b,2018,
HD 148427 b,2009,
HD 149026 b,2005,
HD 149143 b,2005,
HD 1502 b,2011,
HD 150706 b,2012,
HD 152079 b,2009,
HD 152581 b,2011,
HD 15337 b,2019,1001
HD 15337 c,2019,642
HD 153950 b,2008,
HD 154345 b,2006,
HD 154672 b,2008,
HD 154857 b,2004,
HD 154857 c,2014,
HD 155233 b,2015,
HD 155358 b,2007,
HD 155358 c,2007,
HD 156279 b,2011,
